you,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Beautiful People - Ed Sheeran.txt, ./data/lyrics/Blank Space - Taylor Swift.txt, ./data/lyrics/Bài Này Chill Phết - Đen_MIN.txt, ./data/lyrics/cardigan - Taylor Swift.txt, ./data/lyrics/Cần Gì Hơn - Tiên Tiên_JustaTee.txt, ./data/lyrics/Em Mới Là Người Yêu Anh - MIN.txt, ./data/lyrics/exile - Taylor Swift.txt, ./data/lyrics/exile - Taylor Swift.txt, ./data/lyrics/Galway Girl - Ed Sheeran.txt, ./data/lyrics/Girlfriend - Charlie Puth.txt, ./data/lyrics/Happier - Ed Sheeran.txt, ./data/lyrics/Hard on Yourself - Charlie Puth_blackbear.txt, ./data/lyrics/Holy - Justin Bieber_Chance The Rapper.txt, ./data/lyrics/How Long - Charlie Puth.txt, ./data/lyrics/How Long - Charlie Puth.txt, ./data/lyrics/How Long - Charlie Puth.txt, ./data/lyrics/Hãy Trao Cho Anh - Sơn Tùng M-TP.txt, ./data/lyrics/I Don't Care - Ed Sheeran_Justin Bieber.txt, ./data/lyrics/I Don't Wanna Miss You - Trang_Tiên Tiên.txt, ./data/lyrics/I Don_t Wanna Live Forever - Taylor Swift_ZAYN.txt, ./data/lyrics/Ice Cream - BLACKPINK_Selena Gomez.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Lonely - Justin Bieber_Benny Blanco.txt, ./data/lyrics/Lose You To Love Me - Selena Gomez.txt, ./data/lyrics/Love Story - Taylor Swift.txt, ./data/lyrics/Love Yourself - Justin Bieber.txt, ./data/lyrics/Lover - Taylor Swift.txt, ./data/lyrics/Marvin Gaye - Charlie Puth.txt, ./data/lyrics/ME! - Taylor Swift.txt, ./data/lyrics/Monster - Shawn Mendes_Justin Bieber.txt, ./data/lyrics/Mood - 24kGoldn_Justin Bieber_J Balvin & iann dior.txt, ./data/lyrics/My Everything - Tiên Tiên.txt, ./data/lyrics/Mặt Trời Của Em - Phương Ly_JustaTee .txt, ./data/lyrics/One Call Away - Charlie Puth.txt, ./data/lyrics/Past Life - Trevor Daniel_Selena Gomez.txt, ./data/lyrics/Perfect - Ed Sheeran.txt, ./data/lyrics/Photograph - Ed Sheeran.txt, ./data/lyrics/Planet E - Vũ Cát Tường.txt, ./data/lyrics/Say You Do - Tiên Tiên.txt, ./data/lyrics/See You Again - Charlie Puth.txt, ./data/lyrics/Shape of You - Ed Sheeran.txt, ./data/lyrics/Sorry - Justin Bieber.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/Stuck With U - Ariana Grande_Justin Bieber.txt, ./data/lyrics/Summer Feelings - Lennon Stella_Charlie Puth.txt, ./data/lyrics/Supermarket Flowers - Ed Sheeran.txt, ./data/lyrics/the 1 - Taylor Swift.txt, ./data/lyrics/The Man - Taylor Swift.txt, ./data/lyrics/The Man - Taylor Swift.txt, ./data/lyrics/The Old You - Vũ Cát Tường.txt, ./data/lyrics/Thinking Out Loud - Ed Sheeran.txt, ./data/lyrics/Tìm (Lost) - MIN_MR A.txt, ./data/lyrics/Vì Yêu Cứ Đâm Đầu - MIN_Đen_JustaTee.txt, ./data/lyrics/We Don’t Talk Anymore - Charlie Puth.txt, ./data/lyrics/Wolves - Selena Gomez_Marshmello.txt, ./data/lyrics/You Need To Calm Down - Taylor Swift.txt, ./data/lyrics/You Need To Calm Down - Taylor Swift.txt"
thousand,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Thinking Out Loud - Ed Sheeran.txt"
love,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Beautiful People - Ed Sheeran.txt, ./data/lyrics/Blank Space - Taylor Swift.txt, ./data/lyrics/exile - Taylor Swift.txt, ./data/lyrics/Galway Girl - Ed Sheeran.txt, ./data/lyrics/Happier - Ed Sheeran.txt, ./data/lyrics/Hard on Yourself - Charlie Puth_blackbear.txt, ./data/lyrics/Holy - Justin Bieber_Chance The Rapper.txt, ./data/lyrics/How Long - Charlie Puth.txt, ./data/lyrics/I Don't Care - Ed Sheeran_Justin Bieber.txt, ./data/lyrics/I Don_t Wanna Live Forever - Taylor Swift_ZAYN.txt, ./data/lyrics/Ice Cream - BLACKPINK_Selena Gomez.txt, ./data/lyrics/Lose You To Love Me - Selena Gomez.txt, ./data/lyrics/Love Story - Taylor Swift.txt, ./data/lyrics/Love Yourself - Justin Bieber.txt, ./data/lyrics/Lover - Taylor Swift.txt, ./data/lyrics/Marvin Gaye - Charlie Puth.txt, ./data/lyrics/ME! - Taylor Swift.txt, ./data/lyrics/Mood - 24kGoldn_Justin Bieber_J Balvin & iann dior.txt, ./data/lyrics/Mặt Trời Của Em - Phương Ly_JustaTee .txt, ./data/lyrics/One Call Away - Charlie Puth.txt, ./data/lyrics/Perfect - Ed Sheeran.txt, ./data/lyrics/Photograph - Ed Sheeran.txt, ./data/lyrics/Planet E - Vũ Cát Tường.txt, ./data/lyrics/Shape of You - Ed Sheeran.txt, ./data/lyrics/So Close - Binz_Phương Ly.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/Summer Feelings - Lennon Stella_Charlie Puth.txt, ./data/lyrics/Supermarket Flowers - Ed Sheeran.txt, ./data/lyrics/The Old You - Vũ Cát Tường.txt, ./data/lyrics/Thinking Out Loud - Ed Sheeran.txt, ./data/lyrics/We Don’t Talk Anymore - Charlie Puth.txt, ./data/lyrics/Wolves - Selena Gomez_Marshmello.txt"
did,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/I Don't Care - Ed Sheeran_Justin Bieber.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Lonely - Justin Bieber_Benny Blanco.txt, ./data/lyrics/Love Story - Taylor Swift.txt, ./data/lyrics/Supermarket Flowers - Ed Sheeran.txt, ./data/lyrics/We Don’t Talk Anymore - Charlie Puth.txt, ./data/lyrics/Wolves - Selena Gomez_Marshmello.txt"
or,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Blank Space - Taylor Swift.txt, ./data/lyrics/Holy - Justin Bieber_Chance The Rapper.txt, ./data/lyrics/How Long - Charlie Puth.txt, ./data/lyrics/I Don_t Wanna Live Forever - Taylor Swift_ZAYN.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Lover - Taylor Swift.txt, ./data/lyrics/Người Ơi Người Ở Đừng Về - Đức Phúc_Suboi.txt, ./data/lyrics/Sorry - Justin Bieber.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/Wolves - Selena Gomez_Marshmello.txt"
when,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Beautiful People - Ed Sheeran.txt, ./data/lyrics/Blank Space - Taylor Swift.txt, ./data/lyrics/cardigan - Taylor Swift.txt, ./data/lyrics/Galway Girl - Ed Sheeran.txt, ./data/lyrics/Hard on Yourself - Charlie Puth_blackbear.txt, ./data/lyrics/Holy - Justin Bieber_Chance The Rapper.txt, ./data/lyrics/How Long - Charlie Puth.txt, ./data/lyrics/I Don't Care - Ed Sheeran_Justin Bieber.txt, ./data/lyrics/I Don't Wanna Miss You - Trang_Tiên Tiên.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Lonely - Justin Bieber_Benny Blanco.txt, ./data/lyrics/Lose You To Love Me - Selena Gomez.txt, ./data/lyrics/Love Story - Taylor Swift.txt, ./data/lyrics/Love Yourself - Justin Bieber.txt, ./data/lyrics/Marvin Gaye - Charlie Puth.txt, ./data/lyrics/ME! - Taylor Swift.txt, ./data/lyrics/Monster - Shawn Mendes_Justin Bieber.txt, ./data/lyrics/One Call Away - Charlie Puth.txt, ./data/lyrics/Past Life - Trevor Daniel_Selena Gomez.txt, ./data/lyrics/Perfect - Ed Sheeran.txt, ./data/lyrics/Photograph - Ed Sheeran.txt, ./data/lyrics/See You Again - Charlie Puth.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/Stuck With U - Ariana Grande_Justin Bieber.txt, ./data/lyrics/Supermarket Flowers - Ed Sheeran.txt, ./data/lyrics/The Man - Taylor Swift.txt, ./data/lyrics/The Old You - Vũ Cát Tường.txt, ./data/lyrics/Thinking Out Loud - Ed Sheeran.txt, ./data/lyrics/You Need To Calm Down - Taylor Swift.txt"
all,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Beautiful People - Ed Sheeran.txt, ./data/lyrics/Beautiful People - Ed Sheeran.txt, ./data/lyrics/Blank Space - Taylor Swift.txt, ./data/lyrics/Bài Này Chill Phết - Đen_MIN.txt, ./data/lyrics/cardigan - Taylor Swift.txt, ./data/lyrics/exile - Taylor Swift.txt, ./data/lyrics/exile - Taylor Swift.txt, ./data/lyrics/Girlfriend - Charlie Puth.txt, ./data/lyrics/Hard on Yourself - Charlie Puth_blackbear.txt, ./data/lyrics/I Don't Care - Ed Sheeran_Justin Bieber.txt, ./data/lyrics/I Don't Wanna Miss You - Trang_Tiên Tiên.txt, ./data/lyrics/I Don_t Wanna Live Forever - Taylor Swift_ZAYN.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Lonely - Justin Bieber_Benny Blanco.txt, ./data/lyrics/Lose You To Love Me - Selena Gomez.txt, ./data/lyrics/Love Story - Taylor Swift.txt, ./data/lyrics/Love Yourself - Justin Bieber.txt, ./data/lyrics/Lover - Taylor Swift.txt, ./data/lyrics/Marvin Gaye - Charlie Puth.txt, ./data/lyrics/ME! - Taylor Swift.txt, ./data/lyrics/Mood - 24kGoldn_Justin Bieber_J Balvin & iann dior.txt, ./data/lyrics/Past Life - Trevor Daniel_Selena Gomez.txt, ./data/lyrics/Perfect - Ed Sheeran.txt, ./data/lyrics/Planet E - Vũ Cát Tường.txt, ./data/lyrics/See You Again - Charlie Puth.txt, ./data/lyrics/Shape of You - Ed Sheeran.txt, ./data/lyrics/Sorry - Justin Bieber.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/Stuck With U - Ariana Grande_Justin Bieber.txt, ./data/lyrics/Summer Feelings - Lennon Stella_Charlie Puth.txt, ./data/lyrics/the 1 - Taylor Swift.txt, ./data/lyrics/The Man - Taylor Swift.txt, ./data/lyrics/The Old You - Vũ Cát Tường.txt, ./data/lyrics/Thinking Out Loud - Ed Sheeran.txt, ./data/lyrics/We Don’t Talk Anymore - Charlie Puth.txt, ./data/lyrics/Wolves - Selena Gomez_Marshmello.txt, ./data/lyrics/You Need To Calm Down - Taylor Swift.txt"
spend,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Mood - 24kGoldn_Justin Bieber_J Balvin & iann dior.txt, ./data/lyrics/Stuck With U - Ariana Grande_Justin Bieber.txt"
miss,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/cardigan - Taylor Swift.txt, ./data/lyrics/I Don't Wanna Miss You - Trang_Tiên Tiên.txt"
between,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Perfect - Ed Sheeran.txt"
sweet,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Galway Girl - Ed Sheeran.txt, ./data/lyrics/Ice Cream - BLACKPINK_Selena Gomez.txt, ./data/lyrics/Perfect - Ed Sheeran.txt, ./data/lyrics/Shape of You - Ed Sheeran.txt, ./data/lyrics/the 1 - Taylor Swift.txt, ./data/lyrics/Wolves - Selena Gomez_Marshmello.txt"
grew,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt"
eyes,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Beautiful People - Ed Sheeran.txt, ./data/lyrics/exile - Taylor Swift.txt, ./data/lyrics/I Don't Care - Ed Sheeran_Justin Bieber.txt, ./data/lyrics/I Don_t Wanna Live Forever - Taylor Swift_ZAYN.txt, ./data/lyrics/Love Story - Taylor Swift.txt, ./data/lyrics/Marvin Gaye - Charlie Puth.txt, ./data/lyrics/Perfect - Ed Sheeran.txt, ./data/lyrics/Photograph - Ed Sheeran.txt, ./data/lyrics/Planet E - Vũ Cát Tường.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/Summer Feelings - Lennon Stella_Charlie Puth.txt, ./data/lyrics/Ta Là - JustaTee_Clean Bandit_Phương Ly.txt, ./data/lyrics/Thinking Out Loud - Ed Sheeran.txt, ./data/lyrics/We Don’t Talk Anymore - Charlie Puth.txt, ./data/lyrics/Wolves - Selena Gomez_Marshmello.txt"
oh,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Blank Space - Taylor Swift.txt, ./data/lyrics/Blank Space - Taylor Swift.txt, ./data/lyrics/Blank Space - Taylor Swift.txt, ./data/lyrics/Bài Này Chill Phết - Đen_MIN.txt, ./data/lyrics/Em Mới Là Người Yêu Anh - MIN.txt, ./data/lyrics/Galway Girl - Ed Sheeran.txt, ./data/lyrics/Girlfriend - Charlie Puth.txt, ./data/lyrics/Girlfriend - Charlie Puth.txt, ./data/lyrics/Happier - Ed Sheeran.txt, ./data/lyrics/Hard on Yourself - Charlie Puth_blackbear.txt, ./data/lyrics/Hard on Yourself - Charlie Puth_blackbear.txt, ./data/lyrics/Hard on Yourself - Charlie Puth_blackbear.txt, ./data/lyrics/How Long - Charlie Puth.txt, ./data/lyrics/Hãy Trao Cho Anh - Sơn Tùng M-TP.txt, ./data/lyrics/Hãy Trao Cho Anh - Sơn Tùng M-TP.txt, ./data/lyrics/Hãy Trao Cho Anh - Sơn Tùng M-TP.txt, ./data/lyrics/I Don't Care - Ed Sheeran_Justin Bieber.txt, ./data/lyrics/I Don't Care - Ed Sheeran_Justin Bieber.txt, ./data/lyrics/I Don_t Wanna Live Forever - Taylor Swift_ZAYN.txt, ./data/lyrics/Ice Cream - BLACKPINK_Selena Gomez.txt, ./data/lyrics/Ice Cream - BLACKPINK_Selena Gomez.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Love Story - Taylor Swift.txt, ./data/lyrics/Love Yourself - Justin Bieber.txt, ./data/lyrics/Lover - Taylor Swift.txt, ./data/lyrics/Marvin Gaye - Charlie Puth.txt, ./data/lyrics/ME! - Taylor Swift.txt, ./data/lyrics/Monster - Shawn Mendes_Justin Bieber.txt, ./data/lyrics/Monster - Shawn Mendes_Justin Bieber.txt, ./data/lyrics/My Everything - Tiên Tiên.txt, ./data/lyrics/Như Ngày Hôm Qua - Sơn Tùng M-TP.txt, ./data/lyrics/Past Life - Trevor Daniel_Selena Gomez.txt, ./data/lyrics/Past Life - Trevor Daniel_Selena Gomez.txt, ./data/lyrics/Perfect - Ed Sheeran.txt, ./data/lyrics/Photograph - Ed Sheeran.txt, ./data/lyrics/See You Again - Charlie Puth.txt, ./data/lyrics/So Close - Binz_Phương Ly.txt, ./data/lyrics/Sorry - Justin Bieber.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/Stuck With U - Ariana Grande_Justin Bieber.txt, ./data/lyrics/Summer Feelings - Lennon Stella_Charlie Puth.txt, ./data/lyrics/Summer Feelings - Lennon Stella_Charlie Puth.txt, ./data/lyrics/Supermarket Flowers - Ed Sheeran.txt, ./data/lyrics/Sáng Mắt Chưa - Trúc Nhân.txt, ./data/lyrics/Sáng Mắt Chưa - Trúc Nhân.txt, ./data/lyrics/The Man - Taylor Swift.txt, ./data/lyrics/The Man - Taylor Swift.txt, ./data/lyrics/The Old You - Vũ Cát Tường.txt, ./data/lyrics/Thinking Out Loud - Ed Sheeran.txt, ./data/lyrics/Tìm (Lost) - MIN_MR A.txt, ./data/lyrics/Tìm (Lost) - MIN_MR A.txt, ./data/lyrics/Vì Yêu Cứ Đâm Đầu - MIN_Đen_JustaTee.txt, ./data/lyrics/We Don’t Talk Anymore - Charlie Puth.txt, ./data/lyrics/You Need To Calm Down - Taylor Swift.txt"
everything,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Beautiful People - Ed Sheeran.txt, ./data/lyrics/cardigan - Taylor Swift.txt, ./data/lyrics/Lonely - Justin Bieber_Benny Blanco.txt, ./data/lyrics/Love Story - Taylor Swift.txt, ./data/lyrics/Monster - Shawn Mendes_Justin Bieber.txt, ./data/lyrics/Mood - 24kGoldn_Justin Bieber_J Balvin & iann dior.txt, ./data/lyrics/My Everything - Tiên Tiên.txt, ./data/lyrics/the 1 - Taylor Swift.txt"
yeah,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Beautiful People - Ed Sheeran.txt, ./data/lyrics/Blank Space - Taylor Swift.txt, ./data/lyrics/Chạy Ngay Đi - Sơn Tùng M-TP.txt, ./data/lyrics/Girlfriend - Charlie Puth.txt, ./data/lyrics/Girlfriend - Charlie Puth.txt, ./data/lyrics/Happier - Ed Sheeran.txt, ./data/lyrics/Hard on Yourself - Charlie Puth_blackbear.txt, ./data/lyrics/Hard on Yourself - Charlie Puth_blackbear.txt, ./data/lyrics/Holy - Justin Bieber_Chance The Rapper.txt, ./data/lyrics/How Long - Charlie Puth.txt, ./data/lyrics/How Long - Charlie Puth.txt, ./data/lyrics/How Long - Charlie Puth.txt, ./data/lyrics/Hãy Trao Cho Anh - Sơn Tùng M-TP.txt, ./data/lyrics/Hãy Trao Cho Anh - Sơn Tùng M-TP.txt, ./data/lyrics/I Don't Care - Ed Sheeran_Justin Bieber.txt, ./data/lyrics/I Don't Care - Ed Sheeran_Justin Bieber.txt, ./data/lyrics/Ice Cream - BLACKPINK_Selena Gomez.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Lose You To Love Me - Selena Gomez.txt, ./data/lyrics/Marvin Gaye - Charlie Puth.txt, ./data/lyrics/ME! - Taylor Swift.txt, ./data/lyrics/Monster - Shawn Mendes_Justin Bieber.txt, ./data/lyrics/Monster - Shawn Mendes_Justin Bieber.txt, ./data/lyrics/Monster - Shawn Mendes_Justin Bieber.txt, ./data/lyrics/Mood - 24kGoldn_Justin Bieber_J Balvin & iann dior.txt, ./data/lyrics/My Everything - Tiên Tiên.txt, ./data/lyrics/Như Ngày Hôm Qua - Sơn Tùng M-TP.txt, ./data/lyrics/Planet E - Vũ Cát Tường.txt, ./data/lyrics/Say You Do - Tiên Tiên.txt, ./data/lyrics/See You Again - Charlie Puth.txt, ./data/lyrics/Sorry - Justin Bieber.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/Stuck With U - Ariana Grande_Justin Bieber.txt, ./data/lyrics/Stuck With U - Ariana Grande_Justin Bieber.txt, ./data/lyrics/Stuck With U - Ariana Grande_Justin Bieber.txt, ./data/lyrics/Summer Feelings - Lennon Stella_Charlie Puth.txt, ./data/lyrics/The Man - Taylor Swift.txt, ./data/lyrics/Tìm (Lost) - MIN_MR A.txt, ./data/lyrics/Tìm (Lost) - MIN_MR A.txt, ./data/lyrics/Tìm (Lost) - MIN_MR A.txt, ./data/lyrics/Tìm (Lost) - MIN_MR A.txt, ./data/lyrics/Tìm (Lost) - MIN_MR A.txt, ./data/lyrics/Tìm (Lost) - MIN_MR A.txt, ./data/lyrics/Vì Yêu Cứ Đâm Đầu - MIN_Đen_JustaTee.txt, ./data/lyrics/Wolves - Selena Gomez_Marshmello.txt"
me,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Attention - Charlie Puth.txt, ./data/lyrics/Beautiful People - Ed Sheeran.txt, ./data/lyrics/Blank Space - Taylor Swift.txt, ./data/lyrics/cardigan - Taylor Swift.txt, ./data/lyrics/Có Chắc Yêu Là Đây - Sơn Tùng M-TP.txt, ./data/lyrics/Có Chắc Yêu Là Đây - Sơn Tùng M-TP.txt, ./data/lyrics/Cần Gì Hơn - Tiên Tiên_JustaTee.txt, ./data/lyrics/exile - Taylor Swift.txt, ./data/lyrics/Galway Girl - Ed Sheeran.txt, ./data/lyrics/Girlfriend - Charlie Puth.txt, ./data/lyrics/Girlfriend - Charlie Puth.txt, ./data/lyrics/Happier - Ed Sheeran.txt, ./data/lyrics/Hard on Yourself - Charlie Puth_blackbear.txt, ./data/lyrics/Holy - Justin Bieber_Chance The Rapper.txt, ./data/lyrics/How Long - Charlie Puth.txt, ./data/lyrics/Hãy Trao Cho Anh - Sơn Tùng M-TP.txt, ./data/lyrics/I Don't Care - Ed Sheeran_Justin Bieber.txt, ./data/lyrics/I Don't Wanna Miss You - Trang_Tiên Tiên.txt, ./data/lyrics/I Don_t Wanna Live Forever - Taylor Swift_ZAYN.txt, ./data/lyrics/Ice Cream - BLACKPINK_Selena Gomez.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Lonely - Justin Bieber_Benny Blanco.txt, ./data/lyrics/Lose You To Love Me - Selena Gomez.txt, ./data/lyrics/Love Story - Taylor Swift.txt, ./data/lyrics/Love Yourself - Justin Bieber.txt, ./data/lyrics/Lover - Taylor Swift.txt, ./data/lyrics/Marvin Gaye - Charlie Puth.txt, ./data/lyrics/ME! - Taylor Swift.txt, ./data/lyrics/ME! - Taylor Swift.txt, ./data/lyrics/ME! - Taylor Swift.txt, ./data/lyrics/Monster - Shawn Mendes_Justin Bieber.txt, ./data/lyrics/Mood - 24kGoldn_Justin Bieber_J Balvin & iann dior.txt, ./data/lyrics/My Everything - Tiên Tiên.txt, ./data/lyrics/Mặt Trời Của Em - Phương Ly_JustaTee .txt, ./data/lyrics/One Call Away - Charlie Puth.txt, ./data/lyrics/Past Life - Trevor Daniel_Selena Gomez.txt, ./data/lyrics/Perfect - Ed Sheeran.txt, ./data/lyrics/Photograph - Ed Sheeran.txt, ./data/lyrics/Planet E - Vũ Cát Tường.txt, ./data/lyrics/See You Again - Charlie Puth.txt, ./data/lyrics/Shape of You - Ed Sheeran.txt, ./data/lyrics/Sorry - Justin Bieber.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/Stuck With U - Ariana Grande_Justin Bieber.txt, ./data/lyrics/Summer Feelings - Lennon Stella_Charlie Puth.txt, ./data/lyrics/Supermarket Flowers - Ed Sheeran.txt, ./data/lyrics/the 1 - Taylor Swift.txt, ./data/lyrics/The Man - Taylor Swift.txt, ./data/lyrics/The Old You - Vũ Cát Tường.txt, ./data/lyrics/Thinking Out Loud - Ed Sheeran.txt, ./data/lyrics/Tìm (Lost) - MIN_MR A.txt, ./data/lyrics/We Don’t Talk Anymore - Charlie Puth.txt, ./data/lyrics/Wolves - Selena Gomez_Marshmello.txt, ./data/lyrics/You Need To Calm Down - Taylor Swift.txt"
get,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Blank Space - Taylor Swift.txt, ./data/lyrics/exile - Taylor Swift.txt, ./data/lyrics/Hard on Yourself - Charlie Puth_blackbear.txt, ./data/lyrics/Holy - Justin Bieber_Chance The Rapper.txt, ./data/lyrics/Hãy Trao Cho Anh - Sơn Tùng M-TP.txt, ./data/lyrics/Ice Cream - BLACKPINK_Selena Gomez.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Love Yourself - Justin Bieber.txt, ./data/lyrics/Marvin Gaye - Charlie Puth.txt, ./data/lyrics/ME! - Taylor Swift.txt, ./data/lyrics/Mood - 24kGoldn_Justin Bieber_J Balvin & iann dior.txt, ./data/lyrics/Photograph - Ed Sheeran.txt, ./data/lyrics/Shape of You - Ed Sheeran.txt, ./data/lyrics/Sorry - Justin Bieber.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/Stuck With U - Ariana Grande_Justin Bieber.txt, ./data/lyrics/Supermarket Flowers - Ed Sheeran.txt, ./data/lyrics/The Man - Taylor Swift.txt, ./data/lyrics/We Don’t Talk Anymore - Charlie Puth.txt, ./data/lyrics/Wolves - Selena Gomez_Marshmello.txt"
your,"./data/lyrics/10,000 Hours - Dan + Shay_Justin Bieber.txt, ./data/lyrics/Beautiful People - Ed Sheeran.txt, ./data/lyrics/Blank Space - Taylor Swift.txt, ./data/lyrics/cardigan - Taylor Swift.txt, ./data/lyrics/Cần Gì Hơn - Tiên Tiên_JustaTee.txt, ./data/lyrics/exile - Taylor Swift.txt, ./data/lyrics/Galway Girl - Ed Sheeran.txt, ./data/lyrics/Girlfriend - Charlie Puth.txt, ./data/lyrics/Happier - Ed Sheeran.txt, ./data/lyrics/Hard on Yourself - Charlie Puth_blackbear.txt, ./data/lyrics/Holy - Justin Bieber_Chance The Rapper.txt, ./data/lyrics/How Long - Charlie Puth.txt, ./data/lyrics/Hãy Trao Cho Anh - Sơn Tùng M-TP.txt, ./data/lyrics/I Don't Care - Ed Sheeran_Justin Bieber.txt, ./data/lyrics/I Don't Wanna Miss You - Trang_Tiên Tiên.txt, ./data/lyrics/I Don_t Wanna Live Forever - Taylor Swift_ZAYN.txt, ./data/lyrics/Ice Cream - BLACKPINK_Selena Gomez.txt, ./data/lyrics/Intentions - Justin Bieber_Quavo.txt, ./data/lyrics/Love Story - Taylor Swift.txt, ./data/lyrics/Lover - Taylor Swift.txt, ./data/lyrics/Marvin Gaye - Charlie Puth.txt, ./data/lyrics/ME! - Taylor Swift.txt, ./data/lyrics/Mood - 24kGoldn_Justin Bieber_J Balvin & iann dior.txt, ./data/lyrics/Perfect - Ed Sheeran.txt, ./data/lyrics/Photograph - Ed Sheeran.txt, ./data/lyrics/Planet E - Vũ Cát Tường.txt, ./data/lyrics/See You Again - Charlie Puth.txt, ./data/lyrics/Shape of You - Ed Sheeran.txt, ./data/lyrics/Sorry - Justin Bieber.txt, ./data/lyrics/South of the Border - Ed Sheeran.txt, ./data/lyrics/Stuck With U - Ariana Grande_Justin Bieber.txt, ./data/lyrics/Summer Feelings - Lennon Stella_Charlie Puth.txt, ./data/lyrics/Supermarket Flowers - Ed Sheeran.txt, ./data/lyrics/Sáng Mắt Chưa - Trúc Nhân.txt, ./data/lyrics/Ta Là - JustaTee_Clean Bandit_Phương Ly.txt, ./data/lyrics/the 1 - Taylor Swift.txt, ./data/lyrics/The Old You - Vũ Cát Tường.txt, ./data/lyrics/Thinking Out Loud - Ed Sheeran.txt, ./data/lyrics/We Don’t Talk Anymore - Charlie Puth.txt, ./data/lyrics/Wolves - Selena Gomez_Marshmello.txt, ./data/lyrics/You Need To Calm Down - Taylor Swift.txt"
